name,html_url,stargazers_count,language
angular-doc-example,https://github.com/lady-gabs/angular-doc-example,0,TypeScript
angular-exercices,https://github.com/lady-gabs/angular-exercices,0,TypeScript
ATP-1,https://github.com/lady-gabs/ATP-1,0,C
ATP-2,https://github.com/lady-gabs/ATP-2,0,C
Augmented-reality,https://github.com/lady-gabs/Augmented-reality,1,HTML
compilers-2024,https://github.com/lady-gabs/compilers-2024,0,C
fetch-api,https://github.com/lady-gabs/fetch-api,0,HTML
first-site,https://github.com/lady-gabs/first-site,0,HTML
Java-guessing-game,https://github.com/lady-gabs/Java-guessing-game,0,Java
javascript-exercises,https://github.com/lady-gabs/javascript-exercises,0,JavaScript
lady-gabs,https://github.com/lady-gabs/lady-gabs,0,N/A
poc-angular,https://github.com/lady-gabs/poc-angular,0,TypeScript
POO,https://github.com/lady-gabs/POO,0,Java
PROJECT-Streaming-Platform,https://github.com/lady-gabs/PROJECT-Streaming-Platform,0,C
Python-exercices,https://github.com/lady-gabs/Python-exercices,0,Python
simulador-posto-bancario,https://github.com/lady-gabs/simulador-posto-bancario,1,Jupyter Notebook
so1-project,https://github.com/lady-gabs/so1-project,1,Python
to-do-angular,https://github.com/lady-gabs/to-do-angular,0,TypeScript
Trabalho-de-Calculo-Numerico-1,https://github.com/lady-gabs/Trabalho-de-Calculo-Numerico-1,0,C
typescript-exercises,https://github.com/lady-gabs/typescript-exercises,0,TypeScript
web-dev-api,https://github.com/lady-gabs/web-dev-api,1,Java
web-dev-front,https://github.com/lady-gabs/web-dev-front,1,JavaScript
