name,html_url,stargazers_count,language
bank-system,https://github.com/williamhnyohei/bank-system,13,TypeScript
books,https://github.com/williamhnyohei/books,0,N/A
core,https://github.com/williamhnyohei/core,0,TypeScript
deep-seek-vscode-extension,https://github.com/williamhnyohei/deep-seek-vscode-extension,11,TypeScript
dio-lab-open-source,https://github.com/williamhnyohei/dio-lab-open-source,1,Jupyter Notebook
financial-language-model,https://github.com/williamhnyohei/financial-language-model,5,Python
GitHub-Achievements,https://github.com/williamhnyohei/GitHub-Achievements,0,N/A
github-repo-viewer,https://github.com/williamhnyohei/github-repo-viewer,0,Python
pocket-chips-backend,https://github.com/williamhnyohei/pocket-chips-backend,3,TypeScript
poke-corp-api,https://github.com/williamhnyohei/poke-corp-api,0,JavaScript
poke-ui,https://github.com/williamhnyohei/poke-ui,0,Vue
public-apis,https://github.com/williamhnyohei/public-apis,0,N/A
tech-studies,https://github.com/williamhnyohei/tech-studies,4,Python
typeorm,https://github.com/williamhnyohei/typeorm,0,N/A
williamhnyohei,https://github.com/williamhnyohei/williamhnyohei,0,N/A
